category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,81,June,2019,207132853,ERF 214 of GLENHAZEL,T0IR0276000000002140000000,Non Residential,2,QUEEN SQUARE,GLENHAZEL,207132853,3003406216,63030071,KVA,1,70,13104,0
LPU-Demand  | LV,82,June,2019,207132853,ERF 214 of GLENHAZEL,T0IR0276000000002140000000,Non Residential,2,QUEEN SQUARE,GLENHAZEL,207132853,3003406216,63030071,KWH,2,25342,16637,0
LPU-Demand  | LV,83,June,2019,207132853,ERF 214 of GLENHAZEL,T0IR0276000000002140000000,Non Residential,2,QUEEN SQUARE,GLENHAZEL,207132853,3003406216,63030071,KRH,3,2207,433,0
LPU-Demand  | LV,84,June,2019,207143407,ERF 1129 of HOUGHTON ESTATE,T0IR0316000000011290000000,Non Residential,7,WEST STREET,HOUGHTON ESTATE,207143407,3002669083,85749917,KVA,1,140,26350,0
LPU-Demand  | LV,85,June,2019,207143407,ERF 1129 of HOUGHTON ESTATE,T0IR0316000000011290000000,Non Residential,7,WEST STREET,HOUGHTON ESTATE,207143407,3002669083,85749917,KWH,2,92660,60831,0
LPU-Demand  | LV,86,June,2019,207143407,ERF 1129 of HOUGHTON ESTATE,T0IR0316000000011290000000,Non Residential,7,WEST STREET,HOUGHTON ESTATE,207143407,3002669083,85749917,KRH,3,14371,2821,0
LPU-Demand  | LV,87,June,2019,207143767,ERF 178 of LINKSFIELD EXT.3,T0IR0394003000001780000000,Non Residential,111,CLUB STREET,BEDFORD 68-IR,207143767,3002651745,93936417,KVA,1,402,75379,0
LPU-Demand  | LV,88,June,2019,207143767,ERF 178 of LINKSFIELD EXT.3,T0IR0394003000001780000000,Non Residential,111,CLUB STREET,BEDFORD 68-IR,207143767,3002651745,93936417,KWH,2,49532,32518,0
LPU-Demand  | LV,89,June,2019,207143767,ERF 178 of LINKSFIELD EXT.3,T0IR0394003000001780000000,Non Residential,111,CLUB STREET,BEDFORD 68-IR,207143767,3002651745,93936417,KRH,3,825,162,0
LPU-Demand  | LV,90,June,2019,207152095,ERF 657 of DOORNFONTEIN,T0IR0186000000006570000000,Non Residential,55,BEIT STREET,DOORNFONTEIN,207152095,3002668160,63034350,KVA,1,70,13104,0
